Eox,Ered,E00
1.2,-1.28,2.63
1.14,-1.28,2.45
1.1,-1.28,2.51
1.04,-1.28,2.5
0.9,-1.28,2.5
0.87,-1.28,2.31
0.84,-1.28,2.4
0.8,-1.28,2.39
0.58,-1.28,2.3
0.58,-1.57,2.5
0.58,-1.14,2.22
0.58,-1.21,2.26
0.58,-1.01,2.04
1.1,-1.57,2.68
1.1,-1.14,2.41
0.9,-1.14,2.37
1.2,-1.21,2.55
1.1,-1.21,2.44
0.9,-1.21,2.47
1.1,-1.01,2.28
0.87,-1.01,2.09
0.84,-1.01,2.13
0.8,-1.01,2.13
0.87,-1.01,2.12
0.79,-1.01,2.11
1.39,-1.28,2.57
1.25,-1.28,2.51
1.28,-1.28,2.5
0.94,-1.28,2.45
0.9,-1.57,2.7
1.2,-1.57,2.82
1.2,-1.01,2.38
0.9,-1.01,2.22
0.97,-1.28,2.5
1.32,-1.28,2.54
0.77,-1.01,2.1
0.86,-1.01,2.18

